word,rarity,pos,Definition,Sentence
melody,3,noun,A sequence of notes that makes up a musical phrase.,There is a melody upon the Earth as though ten thousand streams all sang together for their homes that they had forsaken in the hills.
melons,3,noun,Plural of melon.,
melted,3,verb,simple past and past participle of melt,
member,1,noun,One who belongs to a group.,
memoir,3,noun,An autobiography; a book describing the personal experiences of an author.,
memory,2,noun,"The ability of the brain to record information or impressions with the facility of recalling them later, usually at will.",Memory is a facility common to all animals.
menace,3,noun,A perceived threat or danger.,
mended,3,verb,Past tense of mend.,
mender,3,noun,A person who mends.,
menial,3,adj,Of or relating to work normally performed by a servant.,"She was not proposing to go out again, so he got her slippers and took off her boots. It delighted him to perform menial offices."
meninx,4,noun,"A membrane, especially one of the three membranes lining the skull and vertebral canal and enclosing the brain and spinal cord in vertebrates.",
mensch,4,noun,"A person (chiefly male) of strength, integrity, and honor or compassion; a gentleman.","Lionel Kessler, relaxing perhaps on a Louis Quinze day bed, garlanded all round with lines of beauty, seeing welcome proof that his clever maligned young friend was a mensch."
menses,3,noun,"The discharge of blood and cellular tissue that flows from the inner lining of the uterus out through the vagina, occurring typically once a month in uninseminated women; a menstrual flow.",
mental,2,adj,Of or relating to the mind or specifically the total emotional and intellectual response of an individual to external reality. Occurring or experienced in the mind.,
mentee,3,noun,A person who is being mentored.,
mentor,3,noun,A wise and trusted counselor or teacher.,"I thought he was supposed to be my mentor. But, in actuality, what did I know about the often beguiling world of adults?"
meowed,3,verb,Past tense of meow.,
mercer,3,noun,"A merchant dealing in fabrics and textiles, especially silks and other fine cloths.",
merely,2,adv,"Without any other reason etc.; only, just, and nothing more.",But let us not be unfair to the kibitzers. Not all players hate 'em. Some merely dislike 'em.
merest,2,adj,Superlative of mere.,
merged,3,verb,Past tense of merge.,
merger,3,noun,One that merges.,
merges,3,verb,Third-person singular present tense of merge.,
merino,3,noun,"A sheep of a Spanish breed with long, fine hair.",
merits,3,noun,plural of merit,
merman,3,noun,"A legendary creature, human male from the waist up, fishlike from the waist down.",
mermen,3,noun,Plural of merman.,
mescal,3,noun,A Mexican alcoholic drink distilled from the fermented juice of the agave.,
meshed,3,verb,Past tense of mesh.,
meshes,3,noun,Plural of mesh.,
mesons,4,noun,Plural of meson.,
messed,2,verb,Past tense of mess.,
messes,2,noun,Plural of mess.,
metals,2,noun,Plural of metal.,
meteor,3,noun,"An atmospheric or meteorological phenomenon. These were sometimes classified as aerial or airy meteors (winds), aqueous or watery meteors (hydrometeors: clouds, rain, snow, hail, dew, frost), luminous meteors (rainbows and aurora), and igneous or fiery meteors (lightning and shooting stars).",
meters,2,noun,Plural of meter.,
method,2,noun,"A process by which a task is completed; a way of doing something (followed by the adposition of, to or for before the purpose of the process).","If one method doesn't work, you should ask a friend to help you."
methyl,3,noun,"The univalent hydrocarbon radical, CH₃-, formally derived from methane by the loss of a hydrogen atom; a compound or part of a compound formed by the attachment of such a radical.",
meting,4,verb,Present participle of mete.,
metric,3,adj,Of or relating to the metric system of measurement.,
metros,2,noun,Plural of metro.,
mettle,3,noun,A quality of courage and endurance.,Please read on and discover the issues in education that test the mettle of those who experience this world every day.
mewing,3,verb,Present participle of mew.,
mewled,3,verb,Past tense of mewl.,
mezzos,4,noun,Plural of mezzo.,
miasma,4,noun,"A noxious atmosphere or emanation once thought to originate from swamps and waste, and to cause disease.","There was an earthy smell, as of some dry miasma, which came through the fouler air."
mickey,3,noun,"The smallest distance that a computer mouse can move a cursor on a screen, which is used to measure the device's resolution or sensitivity.",
micron,3,noun,"Synonym of micrometre (“one-millionth of a metre”). Meaning: An SI and mks unit of measure, the length of one-millionth of a metre. Symbol: μm, um, μ.",
micros,2,noun,Plural of micro.,
midair,2,adj,In the act of flight; airborne.,
midday,3,noun,Noon; twelve o'clock during the day.,One indicates the time as one hour after twelve midday or midnight.
midden,3,noun,A dung heap.,
middle,1,noun,"A centre, midpoint.",The middle of a circle is the point which has the same distance to every point of circle.
midges,3,noun,Plural of midge.,
midget,3,noun,A very small thing; especially one which is conspicuously smaller than expected or by comparison.,
midrib,3,noun,The strengthened vein down the middle of a flower petal or simple leaf or leaflet.,
midway,3,noun,The middle; the midst.,
miffed,3,adj,"Somewhat indignant, irritated, angry, in a snit, put out or annoyed.",
mighty,2,adj,Very strong; possessing might.,"Wise in heart, and mighty in strength."
mikado,4,noun,A former title of the emperors of Japan during a certain period.,
miking,2,verb,Present participle of mike.,
milady,3,verb,To address as “milady”.,
milder,2,adj,Comparative of mild.,
mildew,3,noun,"A growth of minute powdery or webby fungi, whitish or of different colors, found on various diseased or decaying substances.",
mildly,3,adv,In a mild manner.,"Long before you see the lean, handsome heads peering mildly over the half-doors of the loose boxes, you know that East Ilsley's business is training racehorses."
milers,3,noun,Plural of miler.,
milieu,3,noun,An environment or setting; a medium; environs,The library as solely a physical space will not survive in the digital milieu. Services should be directed towards user needs and desires in the current academic climate.
milked,2,verb,Past tense of milk.,
milker,3,noun,"An animal, such as a dairy cow, kept for the milk it produces.",
milled,2,verb,Past tense of mill.,
miller,3,noun,"A person who owns or operates a mill, especially a flourmill.",
millet,3,noun,"Any of a group of various types of grass or its grains used as food, widely cultivated in the developing world.",
milted,4,verb,Past tense of milt.,
mimics,3,verb,Third-person singular present tense of mimic.,
miming,3,verb,Present participle of mime.,
mimosa,4,noun,"A plant belonging to the genus Mimosa usually found in tropical climates, their leaves are usually prickly and sensitive to touch or light, and have small white or pink flowers.",
minced,3,verb,Past tense of mince.,
mincer,3,noun,"A kitchen utensil used for mincing meat, etc.",
minces,3,verb,Third-person singular present tense of mince.,
minded,1,verb,Past tense of mind.,
minder,4,noun,"One who minds, tends, or watches something such as a child, a machine, or cattle; a keeper.",
miners,3,noun,Plural of miner.,
mingle,3,verb,"To intermix; to combine or join, as an individual or part, with other parts, but commonly so as to be distinguishable in the product.",
minima,2,noun,Plural of minimum.,
minims,4,noun,Plural of minim.,
mining,2,noun,The activity of removing valuable resources (often minerals) from the earth.,
minion,3,noun,"A loyal servant of another, usually a more powerful being.",
minnow,4,noun,Any small fish.,"I wonder King George is let venture down on this coast, where he might be snapped up in a moment like a minnow by a her'n, so near as we be to the field of Boney's vagaries!"
minted,3,verb,Past tense of mint.,
minter,4,noun,"One who mints, particularly a moneyer producing coinage.",
minuet,4,noun,"A slow graceful dance consisting of a coupé, a high step, and a balance.",
minute,2,noun,A unit of time which is one sixtieth of an hour (sixty seconds).,
minxes,4,noun,Plural of minx.,
mirage,3,noun,"An optical phenomenon in which light is refracted through a layer of hot air close to the ground, often giving the illusion of a body of water.",
mirier,4,adj,comparative form of miry: more miry,
miring,3,verb,Present participle of mire.,
mirror,2,noun,"A smooth surface, usually made of glass with reflective material painted on the underside, that reflects light so as to give an image of what is in front of it.",I had a look in the mirror to see if the blood had come off my face.
miscue,3,noun,"In a cue sport, an error in hitting the ball with the cue.",
misdid,3,verb,Past tense of misdo.,
misers,3,noun,Plural of miser.,
misery,3,noun,Great unhappiness; extreme pain of body or mind; wretchedness; distress; woe.,Ever since his wife left him you can see the misery on his face.
misfit,3,noun,"A failure to fit well; unsuitability, disparity.",
mishap,3,noun,"An accident, mistake, or problem.","Since the mishap with the banana peel, he watches his step."
mishit,3,noun,An incorrect or bad hit.,
mislay,4,verb,To leave or lay something in the wrong place and then forget where one put it.,
misled,3,verb,simple past and past participle of mislead,
missal,3,noun,A prayer book; a church service (book).,
missed,1,verb,Past of miss.,
misses,1,verb,Third-person singular present tense of miss.,
missus,3,noun,Wife or girlfriend.,Harry said he couldn't stop and chat because his missus wanted to go shopping.
misted,3,verb,Past tense of mist.,
mister,3,noun,A form of address for a man; also a device that sprays a fine mist.,The plant mister stood beside the watering can.
misuse,3,noun,"An incorrect, improper or unlawful use of something.","The Queen may be celebrating her jubilee but the Queen's English Society, which has railed against the misuse and deterioration of the English language, is to fold."
mitral,4,adj,Pertaining to a mitre; resembling a mitre.,The mitral valve was named for a fancied resemblance to a bishop's mitre.
mitten,4,noun,"A type of glove or garment that covers a hand with a separate sheath for the thumb, but not for other fingers, which are either enclosed in a single section or left uncovered.",
mixers,3,noun,Plural of mixer.,
mixing,2,verb,Ing of mix.,
mizzen,4,noun,Mizzenmast.,
moaned,3,verb,Past tense of moan.,
moaner,3,noun,One who makes a moaning sound.,
moated,3,adj,Surrounded with a moat.,
mobbed,2,verb,Past tense of mob.,
mobile,2,adj,"Capable of being moved, especially on wheels.",
mochas,3,noun,Plural of mocha.,
mocked,3,verb,Past tense of mock.,
mocker,3,noun,A person who mocks.,
modals,3,noun,Plural of modal.,
models,1,noun,Plural of model.,
modems,3,noun,Plural of modem.,
modern,1,adj,Pertaining to a current or recent time and style; not ancient.,"Our online interactive game is a modern approach to teaching about gum disease. Although it was built in the 1600s, the building still has a very modern look."
